名称,住所,収容人数,緯度,経度
鳥取市立久松小学校,鳥取県鳥取市栄町一丁目2番3号,350,35.5011,134.2374
鳥取県立鳥取東高等学校,鳥取県鳥取市二階町六丁目1番1号,600,35.5008,134.2361
鳥取市弥生地区公民館,鳥取県鳥取市弥生町三丁目5番2号,180,35.4995,134.2340
鳥取市今町防災センター,鳥取県鳥取市今町二丁目4番1号,220,35.4952,134.2298
米子市立錦町体育館,鳥取県米子市錦町一丁目1番1号,500,35.4281,133.3312
米子市角盤町コミュニティ施設,鳥取県米子市角盤町二丁目3番4号,240,35.4267,133.3339
倉吉市魚町公民館,鳥取県倉吉市魚町四丁目5番6号,160,35.4306,133.8256
境港市大正町防災広場,鳥取県境港市大正町二丁目1番1号,300,35.5385,133.2258
鳥取市立賀露小学校,鳥取県鳥取市賀露町北一丁目8番12号,280,35.5303,134.2003
湖山地区公民館,鳥取県鳥取市湖山町北四丁目10番5号,200,35.5178,134.1735
鳥取市末広温泉町避難所,鳥取県鳥取市末広温泉町153番地,150,35.4983,134.2312
吉方温泉集会所,鳥取県鳥取市吉方温泉三丁目2番8号,120,35.5041,134.2410
米子市皆生温泉避難所,鳥取県米子市皆生温泉三丁目7番1号,260,35.4436,133.3005
米子市東福原地区センター,鳥取県米子市東福原五丁目1番20号,300,35.4189,133.3521
倉吉市明治町公民館,鳥取県倉吉市明治町一丁目2番地,140,35.4315,133.8201
倉吉市昭和町体育センター,鳥取県倉吉市昭和町二丁目251番地,320,35.4298,133.8175
境港市松ケ枝町避難所,鳥取県境港市松ケ枝町9番地,180,35.5362,133.2291
岩美町立岩美中学校,鳥取県岩美郡岩美町浦富675番地,240,35.5789,134.3062
三朝町総合文化ホール,鳥取県東伯郡三朝町大瀬1210番地,200,35.3971,133.8536
大山町名和体育館,鳥取県西伯郡大山町御来屋323番地,220,35.5122,133.4661
