施設名,住所,カテゴリ,緯度,経度
鳥取砂丘,鳥取県鳥取市福部町湯山2164番地,自然,35.5436,134.2247
砂の美術館,鳥取県鳥取市福部町湯山2083番地の17,美術館,35.5420,134.2260
白兎神社,鳥取県鳥取市白兎603番地,神社,35.5169,134.1601
鳥取城跡,鳥取県鳥取市東町二丁目124番地,城跡,35.5089,134.2419
仁風閣,鳥取県鳥取市東町二丁目121番地,歴史的建造物,35.5085,134.2412
わらべ館,鳥取県鳥取市西町三丁目202番地,博物館,35.5017,134.2333
三徳山三仏寺,鳥取県東伯郡三朝町三徳1010番地,寺院,35.3963,133.9351
燕趙園,鳥取県東伯郡湯梨浜町引地字大谷556番地の1,庭園,35.4839,133.8971
打吹公園,鳥取県倉吉市仲ノ町3445番地,公園,35.4267,133.8203
水木しげるロード,鳥取県境港市本町通り,観光スポット,35.5432,133.2286
皆生温泉,鳥取県米子市皆生温泉三丁目18番地,温泉,35.4451,133.3011
とっとり花回廊,鳥取県西伯郡南部町鶴田110番地,庭園,35.3684,133.3651
大山寺,鳥取県西伯郡大山町大山9番地,寺院,35.3736,133.5427
浦富海岸,鳥取県岩美郡岩美町浦富,自然,35.5891,134.3149
青山剛昌ふるさと館,鳥取県東伯郡北栄町由良宿1414番地,博物館,35.4881,133.7642
